Timestamp,Socket Connection Test,HTTP Connection Test,Network Type,Mobile Data Network Type,SIM State,Service State,Detailed State,Is Connected,Is Roaming,Is Available,Is Failover,Data Activity,Data State,Reason,Extra Info,WiFi SSID,WiFi BSSID,WiFi Frequency,WiFi Channel,WiFi Signal Strength (0–4),WiFi Signal Strength (RSSI),SIM Operator,SIM MCC,SIM MNC,Network Operator,Network MCC,Network MNC,Is Network Metered,Device Latitude,Device Longitude,Device Position Accuracy (m),Device Speed (m/s),Cell Signal Strength (0–4),Cell Signal Strength (dBm),ASU Level,LTE RSRQ,CDMA Cell Base Station Id,CDMA Cell Latitude,CDMA Cell Longitude,CDMA Cell Network Id,CDMA Cell System Id,GSM Full Cell Id,GSM RNC,GSM Short Cell Id,GSM Cell LAC,GSM Cell PSC,LTE Cell Id,LTE Cell RF Channel,LTE Physical Cell Id,LTE Cell Tracking Area Code,Network Interface,IPv4 Address,IPv6 Address,Battery Level
2018-12-05 10:01:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:56:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:51:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:46:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:41:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:36:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:31:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:26:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:21:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:16:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:11:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:06:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 09:01:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:56:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:51:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:46:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:41:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:36:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:31:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:26:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:21:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:16:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:11:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:06:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 08:01:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 07:56:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 07:51:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 07:46:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 07:41:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 07:36:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 07:31:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
2018-12-05 07:26:20,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""CIBIOGAS-UD""","""CIBIOGAS-UD""",20:4c:9e:0a:9c:b3,2462,11,4,-42,,,,,,,0,,,,,0,,0,,,,,,,,,,,,,,,,dummy0;wlan0,179.106.230.178,fe80::cc79:d8ff:fe73:4e48%dummy0;2801:b6:400:624:2dea:b862:be3d:cbe2;2801:b6:400:624:3045:4019:7cb7:9874;2801:b6:400:624:ce61:e5ff:fe06:5ca4;fe80::ce61:e5ff:fe06:5ca4%wlan0,100
