Timestamp,Socket Connection Test,HTTP Connection Test,Network Type,Mobile Data Network Type,SIM State,Service State,Detailed State,Is Connected,Is Roaming,Is Available,Is Failover,Data Activity,Data State,Reason,Extra Info,WiFi SSID,WiFi BSSID,WiFi Frequency,WiFi Channel,WiFi Signal Strength (0–4),WiFi Signal Strength (RSSI),SIM Operator,SIM MCC,SIM MNC,Network Operator,Network MCC,Network MNC,Is Network Metered,Device Latitude,Device Longitude,Device Position Accuracy (m),Device Speed (m/s),Cell Signal Strength (0–4),Cell Signal Strength (dBm),ASU Level,CDMA Cell Base Station Id,CDMA Cell Latitude,CDMA Cell Longitude,CDMA Cell Network Id,CDMA Cell System Id,GSM Full Cell Id,GSM RNC,GSM Short Cell Id,GSM Cell LAC,GSM Cell PSC,LTE Cell Id,LTE Cell RF Channel,LTE Physical Cell Id,LTE Cell Tracking Area Code,Network Interface,IPv4 Address,IPv6 Address,Battery Level,Download Speed (Mbps),Upload Speed (Mbps)
2018-12-04 04:05:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 04:00:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:55:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:50:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:45:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:40:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:35:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:30:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:25:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:20:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:15:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:10:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:05:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 03:00:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:55:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:50:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:45:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:40:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-63,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:35:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:30:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:25:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:20:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:15:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:10:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:05:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 02:00:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:55:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:50:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:45:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:40:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:35:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:30:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:25:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:20:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:15:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:10:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:05:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 01:00:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:55:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:50:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:45:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:40:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:35:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:30:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:25:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:20:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:15:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:10:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:05:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-04 00:00:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:55:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:50:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:45:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:40:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:35:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:30:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:25:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:20:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:15:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-64,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:10:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:05:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 23:00:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 22:55:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 22:50:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 22:45:47,SLOW,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 22:40:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
2018-12-03 22:35:47,PASS,PASS,WIFI,UNKNOWN,ABSENT,,CONNECTED,1,0,1,0,NONE,DISCONNECTED,,"""udcibiogas""","""udcibiogas""",68:72:51:24:3d:b6,2447,8,3,-65,,,,,,,0,,,,,0,,0,,,,,,15903,,15903,60445,,,,,,wlan0,192.168.10.227,fe80::f6f5:24ff:fefd:2027%wlan0,100,Disabled,Disabled
